Data e hora,temperatura interna,temperatura externa,temperatura definida pelo usuário, Atuador Resistor, Atuador Ventoinha)
24-01-2023 21:42:43,40.0,25.84462419905942,35.0,0,97
24-01-2023 21:42:44,40.0,25.84462419905942,35.0,0,92
24-01-2023 21:42:45,40.0,25.84689349367727,35.0,0,92
24-01-2023 21:42:46,40.0,25.84689349367727,35.0,0,92
24-01-2023 21:42:47,40.12,25.84689349367727,35.0,0,92
24-01-2023 21:42:48,40.12,25.850135343227976,35.0,0,92
24-01-2023 21:42:49,40.12,25.850135343227976,35.0,0,100
24-01-2023 21:42:50,40.12,25.853701377865058,35.0,0,100
24-01-2023 21:42:51,40.12,25.853701377865058,35.0,0,100
24-01-2023 21:42:52,40.25,25.853701377865058,35.0,0,100
24-01-2023 21:42:53,40.25,25.857591597626037,35.0,0,100
24-01-2023 21:42:54,40.25,25.857591597626037,35.0,0,100
24-01-2023 21:42:55,40.25,25.857591597626037,35.0,0,99
24-01-2023 21:42:56,40.25,25.861806002551837,35.0,0,99
24-01-2023 21:42:57,40.25,25.861806002551837,35.0,0,99
24-01-2023 21:42:58,40.25,25.861806002551837,35.0,0,100
24-01-2023 21:42:59,40.25,25.8663445926868,35.0,0,100
24-01-2023 21:43:00,40.25,25.8663445926868,35.0,0,100
24-01-2023 21:43:01,40.25,25.8663445926868,35.0,0,100
24-01-2023 21:43:02,40.38,25.87120736807867,35.0,0,100
24-01-2023 21:43:03,40.38,25.87120736807867,35.0,0,100
24-01-2023 21:43:04,40.38,25.87120736807867,35.0,0,100
24-01-2023 21:43:05,40.38,25.876070143726338,35.0,0,100
24-01-2023 21:43:06,40.44,25.876070143726338,35.0,0,100
24-01-2023 21:43:07,40.44,25.880608734561612,35.0,0,100
24-01-2023 21:43:08,40.44,25.880608734561612,35.0,0,100
24-01-2023 21:43:09,40.44,25.880608734561612,35.0,0,100
24-01-2023 21:43:10,40.44,25.88644406596295,35.0,0,100
24-01-2023 21:43:11,40.44,25.88644406596295,35.0,0,100
24-01-2023 21:43:12,40.44,25.88644406596295,35.0,0,100
24-01-2023 21:43:13,40.44,25.891631027517814,35.0,0,100
